stem,target_timestamp_seconds,actual_timestamp_seconds,before_mean,before_median,before_dark_fraction,after_mean,after_median,after_dark_fraction,after_highlight_fraction,gamma,retinex_weight,initial_anchor_count,warnings
lowlight_camera_full_rgb_t000000,0,0.000000,99.3602,81.0000,0.042861,141.9643,138.0000,0.014626,0.000072,0.694386,0.276444,12,
lowlight_camera_full_rgb_t000005,5,5.016269,90.0327,71.0000,0.088184,146.1385,144.0000,0.016794,0.000195,0.622823,0.334222,11,
lowlight_camera_full_rgb_t000010,10,9.987346,90.1917,71.0000,0.086270,146.0813,144.0000,0.016510,0.000173,0.622823,0.334222,11,
lowlight_camera_full_rgb_t000015,15,15.003615,88.7681,70.0000,0.099730,146.8651,145.0000,0.019043,0.000234,0.615989,0.340000,11,
lowlight_camera_full_rgb_t000020,20,20.019884,89.3321,69.0000,0.099053,145.8752,144.0000,0.019095,0.000228,0.609209,0.345778,11,
lowlight_camera_full_rgb_t000025,25,24.990962,89.0381,70.0000,0.091556,145.5482,143.0000,0.016895,0.000257,0.615989,0.340000,11,
lowlight_camera_full_rgb_t000030,30,30.007231,79.9171,63.0000,0.232611,145.9586,149.0000,0.020700,0.000124,0.569569,0.380444,14,prediction_disagreement_y_315|prediction_disagreement_y_332|prediction_disagreement_y_349
lowlight_camera_full_rgb_t000035,35,34.978308,92.0692,73.0000,0.069281,142.3460,139.0000,0.011133,0.000277,0.636656,0.322667,11,
lowlight_camera_full_rgb_t000040,40,39.994577,92.0652,72.0000,0.068574,143.3749,141.0000,0.011032,0.000290,0.629711,0.328444,11,
lowlight_camera_full_rgb_t000045,45,45.010846,91.4869,72.0000,0.074411,143.1867,141.0000,0.011325,0.000322,0.629711,0.328444,11,
lowlight_camera_full_rgb_t000050,50,49.981923,91.3077,72.0000,0.075680,143.5659,141.0000,0.012445,0.000244,0.629711,0.328444,11,
lowlight_camera_full_rgb_t000055,55,54.998192,89.2155,70.0000,0.088913,143.4442,142.0000,0.011214,0.000316,0.615989,0.340000,11,
lowlight_camera_full_rgb_t000060,60,60.014461,87.9156,65.0000,0.100658,148.0277,145.0000,0.008587,0.000107,0.582592,0.368889,10,
lowlight_camera_full_rgb_t000065,65,64.985539,88.8157,64.0000,0.105251,149.2108,145.0000,0.007142,0.000358,0.576058,0.374667,10,
lowlight_camera_full_rgb_t000070,70,70.001808,88.4001,58.0000,0.165732,152.5651,149.0000,0.002480,0.000260,0.550000,0.409333,10,
lowlight_camera_full_rgb_t000075,75,75.018077,82.9527,52.0000,0.211686,153.5735,150.0000,0.006963,0.000306,0.550000,0.444000,10,
lowlight_camera_full_rgb_t000080,80,79.989154,77.4027,44.0000,0.467373,152.9425,151.0000,0.011494,0.000179,0.550000,0.490222,9,
lowlight_camera_full_rgb_t000085,85,85.005423,81.1240,47.0000,0.288610,151.8366,148.0000,0.005635,0.000221,0.550000,0.472889,8,prediction_disagreement_y_414|prediction_disagreement_y_431
lowlight_camera_full_rgb_t000090,90,90.021692,71.6250,56.0000,0.167246,146.7367,147.0000,0.013620,0.000322,0.550000,0.420889,4,
lowlight_camera_full_rgb_t000095,95,94.992769,75.6333,52.0000,0.227904,150.5976,149.0000,0.012275,0.000146,0.550000,0.444000,9,
lowlight_camera_full_rgb_t000100,100,100.009038,78.2836,46.0000,0.315225,149.1195,146.0000,0.006263,0.000371,0.550000,0.478667,10,
lowlight_camera_full_rgb_t000105,105,104.980116,76.0843,41.0000,0.466862,150.8680,149.0000,0.008001,0.000146,0.550000,0.507556,9,
lowlight_camera_full_rgb_t000110,110,109.996385,74.7186,40.0000,0.487965,147.9995,145.0000,0.006914,0.000264,0.550000,0.513333,9,
lowlight_camera_full_rgb_t000115,115,115.012654,75.4008,43.0000,0.473942,147.3240,143.0000,0.006982,0.000199,0.550000,0.496000,5,
lowlight_camera_full_rgb_t000120,120,119.983731,76.1348,45.0000,0.453073,146.6264,141.0000,0.007503,0.000280,0.550000,0.484444,3,
lowlight_camera_full_rgb_t000125,125,125.000000,76.6215,49.0000,0.435648,145.3218,140.0000,0.007855,0.000166,0.550000,0.461333,3,
lowlight_camera_full_rgb_t000130,130,130.016269,76.4337,51.0000,0.416605,145.0181,139.0000,0.008317,0.000114,0.550000,0.449778,4,
