stem,source,event_reason,event_score,target_timestamp_seconds,actual_timestamp_seconds,frame_difference,optical_flow,brightness_mean,brightness_delta,dark_fraction,laplacian_variance,color_anchor_count,difference_hash_hex,image_sha256
camera_full_rgb_v2_t000000000,base,one_second_base,0.000000,0.000000,0.000000,0.000000,0.000000,99.360153,0.000000,0.107445,114.776400,12,0705001405b99f3f,39d6a0860e3369cd912313ea5203b58ca0d707617ab337e8be254ef813730f53
camera_full_rgb_v2_t000001000,base,one_second_base,0.000000,1.000000,0.994215,0.816667,0.036125,90.004827,0.096198,0.202367,169.908603,11,0f05001405bd9f3f,94d93550dd90adc4b1d976455a771edc5092d74f84c74539cbad1abfd1169e65
camera_full_rgb_v2_t000002000,base,one_second_base,0.000000,2.000000,1.988431,0.826510,0.036703,90.046514,0.036328,0.201742,167.777552,11,0f05001405bd9f3f,9dc4300f242223018b0f1ce26d35ef64941f83daec703087e374f6186b4ceaf0
camera_full_rgb_v2_t000003000,base,one_second_base,0.000000,3.000000,2.982646,1.018646,0.039445,89.943327,0.043405,0.198278,173.938359,11,0f05001405b99f3f,f36f419b2ebcb1ce65b9c396e8c449c5754bd722170c060213e84bb4511304a3
camera_full_rgb_v2_t000004000,base,one_second_base,0.000000,4.000000,4.022054,0.786302,0.037069,89.934144,0.014144,0.199121,170.978333,11,0f05001405b89f3f,311ad1c18f554ef37be13fd9efb3c2558fbca779e75c5e3e642645ed87d9518b
camera_full_rgb_v2_t000005000,base,one_second_base,0.000000,5.000000,5.016269,0.765833,0.040635,90.032725,0.020778,0.197604,169.514655,11,0f05001405b89f3f,9c1db21dc174979e39b1261250bed61c68db9f182642f6a228d69375d69b338a
camera_full_rgb_v2_t000006000,base,one_second_base,0.000000,6.000000,6.010484,0.751510,0.038701,90.076149,0.058011,0.196725,168.757350,11,0f05001405b89f3f,f216d66ad938c123fe661ca99ea29129e01e530ac13fc0936a5e6ef6b8073ba0
camera_full_rgb_v2_t000007000,base,one_second_base,0.000000,7.000000,7.004700,0.469427,0.029942,90.144183,0.012028,0.197015,170.977812,11,0f05001405b89f3f,c37c246bf13eca63d5a33ef059943891ac3ba360f604d9870b305626ca53798d
camera_full_rgb_v2_t000008000,base,one_second_base,0.000000,8.000000,7.998915,0.548698,0.034778,89.452012,0.038991,0.204906,172.057558,11,0f05001405b89f3f,b1c7d8efad4c7be6e7c80d6738d657b9c4dec59ed3b12bcd253623238f6ef0d6
camera_full_rgb_v2_t000009000,base,one_second_base,0.000000,9.000000,8.993131,0.529167,0.030889,90.021624,0.101673,0.197249,172.319573,11,0f05001405b89f3f,d92e4df14a128457a46d3dec438cd8db48447febb14d1c8bb496fe7f6c589d68
