Epoch[0]-train avg_loss=3.762 avg_top1=0.256 avg_top2=0.268 avg_top3=0.282 avg_iou=0.423 
Epoch[0]-val   avg_loss=3.096 avg_top1=0.428 avg_top2=0.428 avg_top3=0.430 avg_iou=0.482 
Epoch[1]-train avg_loss=2.523 avg_top1=0.483 avg_top2=0.483 avg_top3=0.486 avg_iou=0.495 
Epoch[1]-val   avg_loss=2.565 avg_top1=0.429 avg_top2=0.429 avg_top3=0.432 avg_iou=0.497 
Epoch[2]-train avg_loss=2.260 avg_top1=0.479 avg_top2=0.480 avg_top3=0.486 avg_iou=0.499 
Epoch[2]-val   avg_loss=2.565 avg_top1=0.436 avg_top2=0.456 avg_top3=0.477 avg_iou=0.472 
Epoch[3]-train avg_loss=2.034 avg_top1=0.490 avg_top2=0.512 avg_top3=0.534 avg_iou=0.500 
Epoch[3]-val   avg_loss=2.013 avg_top1=0.446 avg_top2=0.510 avg_top3=0.577 avg_iou=0.492 
Epoch[4]-train avg_loss=1.721 avg_top1=0.508 avg_top2=0.577 avg_top3=0.626 avg_iou=0.500 
Epoch[4]-val   avg_loss=1.554 avg_top1=0.503 avg_top2=0.643 avg_top3=0.733 avg_iou=0.500 
Epoch[5]-train avg_loss=1.449 avg_top1=0.531 avg_top2=0.648 avg_top3=0.721 avg_iou=0.500 
Epoch[5]-val   avg_loss=1.284 avg_top1=0.552 avg_top2=0.708 avg_top3=0.781 avg_iou=0.500 
Epoch[6]-train avg_loss=1.271 avg_top1=0.553 avg_top2=0.696 avg_top3=0.771 avg_iou=0.500 
Epoch[6]-val   avg_loss=1.144 avg_top1=0.566 avg_top2=0.734 avg_top3=0.794 avg_iou=0.535 
Epoch[7]-train avg_loss=1.087 avg_top1=0.583 avg_top2=0.745 avg_top3=0.815 avg_iou=0.500 
Epoch[7]-val   avg_loss=1.048 avg_top1=0.563 avg_top2=0.764 avg_top3=0.837 avg_iou=0.535 
Epoch[8]-train avg_loss=1.031 avg_top1=0.587 avg_top2=0.763 avg_top3=0.830 avg_iou=0.500 
